security_no,segment,suggested_action,churn_probability
X0YDRG9,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
5SWULVO,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
3I9LEFE,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
UOAPI3L,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
QUU2V55,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.83
96ZHX6P,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
KX657II,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
PBUM281,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
ZYEBIID,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
EUGPHWZ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.25
ZQJOXJX,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
C229QZZ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.86
U49RAKX,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
06HDP63,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
FRAOIDA,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
M9F3TE2,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
FRLCXCJ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
YNN4REK,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
DE6ERGA,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
EJMEVHN,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
C7QZITU,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.81
B1XF70C,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
FBG1O5D,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.47
ZQ2RGSW,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
TER02YR,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
HXIGRU3,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.04
UAAYTIM,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
B2MID6G,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
PC7X217,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.72
EER61FP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.08
KJLXRJ7,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
C0LKXD6,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.23
KA10KAJ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
1C5WWL9,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.13
LLPKTT3,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
MVC3XG0,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
X54XOQB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
YN0D4XB,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
EY34UCV,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
WGKRXHK,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.33
PXDXAK3,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
U2S0ZMS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
11SAVWA,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
DL6BE96,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
UZELBS2,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.05
BTESGNH,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
A3SG5HG,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
BFC2STE,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
K9534WF,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.73
VORACOL,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.98
G64J9NC,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.91
7JC7H9M,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
YIF4UTM,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
148CAFB,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.22
IJ500YB,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.8
XR0FV22,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
U545PNM,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.23
RAVGVDP,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.13
VDCZUD5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
KUJNEI7,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
UHDKJ4T,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.95
E1EYCEB,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.02
D489TNE,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
26RJY6I,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
0LS5PB4,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.01
FKA8V9P,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.84
S6B5HER,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.46
IHGGCOB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
8EC483J,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.88
7VI8S2N,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
0FXRTQ3,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
CFXGFEO,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
Y2PJ70L,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
JAWMYHN,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
V8LT71V,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.87
OOEQJ9E,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.15
WXJCO6L,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.98
XDANU0N,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
0B93V8I,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
80X3LBS,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
WX9FMKD,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
FXTLHJO,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
1Q644S2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
DEN5T45,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.09
HO7SVW2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
8AWVLE2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.8
VLT3N4A,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
W20NHNO,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
PB5J0JP,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
0ISW03K,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
ELWT1XG,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.16
TS6F948,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
LOSAGM2,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
DTMKCNR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
ZS5JITE,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
CZKAGUY,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.06
F0CC3JK,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
MWN21KT,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.06
CUNJTNM,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.12
0PSMM0P,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
P11WJYU,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
YL8KDU2,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
JD1FCAD,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
CX2RD4O,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
OFQV4L9,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
J1ERM77,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
T8VRII9,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
5B2CFVS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
5MTFUGX,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.87
R59QOZQ,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.94
B64YF5C,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
P5QCZFI,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
L087S2R,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.33
LO2YYBQ,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.83
863177F,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
O7ATCTM,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
ZW66T5M,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
8IEHQ76,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
KYOLWFX,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
6RZ86VW,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
DS0I1ZT,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.71
7YMU3HJ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
2Y95NFP,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
MQXM7MW,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.02
HZZ26WT,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
YOLS46C,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
ZO5BVM3,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
P7KUU1A,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.19
V73DPK8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.84
UBUMA9S,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
4H6GWTF,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
HHJDXST,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.1
FETPOEF,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
C6JR6MZ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
37UOC7C,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
HSKJR4V,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
ZUA3VGF,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
4WL24BT,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
2DJSDW1,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
BXLJS7C,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
00JB6QS,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
IZYZD2D,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.19
3GUQMUN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
9RXEBI1,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
ZJAXMWS,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.16
55D8U27,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.01
MOXO4A8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
VSSM0UP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
OF3LNL7,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
YH9ZYFL,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
0B5WG72,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
I2HH3YZ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.37
G1AHQST,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
NUQM3QR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
QK05KFG,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
LQYM49A,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.07
HFDQ728,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
2VRC6NG,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
K7YIUTQ,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.94
F5T938Y,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
LU390BC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.07
JIA5UDD,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
7B5M8OC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
AOHLG0V,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
66DEWYB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
XF40RRS,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
2V0SZHQ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
L5WC8WS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
F91GV32,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
609T4VI,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.14
NIHJCOO,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.82
CKLHKX1,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.11
RHUBYN8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
PWOU487,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.05
MROG29A,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.76
R4TAGQ6,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
PYIV6U9,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
H4GXLTP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.07
NKMSURJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
T1S3FJN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
E95TA6W,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.76
J44762N,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
OQ8U35S,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.84
C1WO41D,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.95
9MVALUF,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
AGIKGT5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
68X50DQ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.05
FI7GAP2,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
9UJH2VO,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
EDXS9Z3,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.18
LU3B1CT,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
F6PS8PZ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
YJ229A7,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.14
DFL14TM,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
59VYKZF,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
LDYMHD4,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
WH0V4K6,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
WBTDLCE,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
UL9ZZKV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.87
HBY1Q1U,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
80Y00VC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
4ZHLYTJ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
64DX0N9,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
OGM3BJL,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
Z8NLVWM,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
34U09OT,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.01
HLDJORJ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
283BT2B,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.79
GWVAMR3,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.04
XEXJM7V,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
O8C0RJU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
0D75NLR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
YQM5749,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
D9RGBNN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
IZ5S9B4,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
VIEXSQI,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.16
X3X272M,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
Q6N9OQO,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.11
ZAIGYY6,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
FOFKSWJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
0EE8AUR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
MVPVHC0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
NH8E90F,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
QEGEKY2,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
QNROU0L,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.11
RI50KRT,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
Q951RKD,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
DEUIPM7,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
79PGHF5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
U6NLZ8J,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
NTV8MPA,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
PL95KDY,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
LZRM07Q,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.23
NRO2XPN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
X9FTAIP,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.1
YYBYDH2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.87
W2VQNLG,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
Y05E2L6,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.1
PQCBFXH,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.28
DCNUISZ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.08
L64C7SR,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
UR4QMPI,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
GQX8TBS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
77O4EDB,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
PGZNTFI,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
F8K7EN7,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
QBAFDF0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
GOWBPNN,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.07
DMOR4O2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
XKALTPH,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
UG6BJYB,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
KBXFNYG,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.08
8GD5YKQ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
O0NVW37,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
QWFR1F0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.87
6GPTGHP,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
N7UVJCM,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.24
AEJYFYL,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.14
ORIWFX9,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
D56M3E5,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
2M6JVJH,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
M1KKYP4,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.17
9RLQNSH,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
338X9DU,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
IQMO2K1,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.85
NGARRGW,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
Q80YIPV,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
HLOAGZN,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.9
YEQQD8L,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.02
QGBT460,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
0TTVF88,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
D0U8LVD,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
NZIC7MG,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.99
USG1LRO,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.92
2363Q5M,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
GKQZ8GZ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.03
BX6A38K,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
XBODOGY,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
CDCNVB2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
33IA08M,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
OOVLXOQ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
XE5HS3F,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
WK5FO8X,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
20FMCRX,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
MM0UCBB,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
TOA1V9G,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
P3J1T89,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
NBKMU9M,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.55
LTU84Z8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
QK6FF63,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
ZGMUIIB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
LUOQ29J,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
04HL3DY,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
EWKOKT8,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
TKBQI3G,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
LGTEN2N,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
AJIO3HH,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
OQA685G,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.71
BS5TEBS,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.04
V9UQEYQ,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.8
W4JI31Q,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
L30J789,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
BJ3F5CH,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
GXMBJ1A,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
0BGG2FZ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.31
W3NSYTC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
DPBJ9LG,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.15
7J3POQ0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
DD3Q6FB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
IZ6YPZD,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
72FNQEU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
WQT3TB3,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
JVZWW7F,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
BQNNOW0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
K86BRHQ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.03
HQ77Y5F,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
TEEC4CC,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
