age,gender,security_no,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,tenure_days
55,1,2DJSDW1,1,0,0.0,1,2,2,21.0,51.75,27564.76,24.0,660.59,0,1,0,1,7,1,539
18,1,BXLJS7C,0,0,1.0,2,2,0,10.0,117.9,49537.82,7.0,528.08,1,0,1,2,2,1,452
27,0,00JB6QS,3,5,0.0,1,3,1,2.0,484.45,83453.57,14.0,788.97,0,1,1,4,6,0,95
57,1,IZYZD2D,1,4,0.0,2,2,2,6.0,32.89,16340.59,0.0,697.62,1,0,1,3,3,0,66
48,0,3GUQMUN,0,0,1.0,0,1,1,15.0,77.18,49448.05,5.0,605.23,0,1,1,0,2,1,99
54,1,9RXEBI1,1,0,0.0,0,1,2,8.0,60.77,45095.33,1.234738899,692.59,1,0,0,1,2,1,525
52,0,ZJAXMWS,2,1,0.0,2,2,1,15.0,197.85,42084.72,18.0,710.7,0,1,0,1,1,0,0
33,0,55D8U27,1,3,1.0,2,0,1,11.0,502.4,4714.82,24.0,472.8025704,1,0,0,1,3,0,102
35,1,MOXO4A8,1,2,1.0,0,2,0,6.0,33.96,6175.77,22.0,545.14,1,0,0,1,2,1,242
42,1,VSSM0UP,0,3,0.0,2,0,1,13.0,617.09,33226.66,17.0,1053.420685,1,1,1,0,2,0,935
39,0,OF3LNL7,0,1,0.0,1,1,0,9.0,34.93,42965.53,29.0,630.68,0,1,1,2,2,1,65
50,0,YH9ZYFL,0,1,1.0,2,1,0,20.0,198.19,20710.0,10.0,697.62,0,1,1,4,2,1,564
29,1,0B5WG72,0,4,1.0,1,1,2,11.0,317.25,17951.87,17.0,753.97,0,1,0,1,1,0,883
47,1,I2HH3YZ,1,2,1.0,0,3,0,5.0,876.87,41927.46,17.0,636.3,1,0,1,3,3,0,244
16,0,G1AHQST,0,1,0.0,1,3,2,8.0,133.36,21896.63,13.0,644.25,1,0,0,1,0,1,245
48,1,NUQM3QR,3,0,1.0,2,3,0,8.0,522.81,27264.0,11.0,556.79,1,1,1,3,3,1,734
14,0,QK05KFG,0,2,0.0,1,1,0,10.0,33.34,46392.24,24.0,582.93,1,0,0,1,1,1,377
13,0,LQYM49A,2,4,0.0,1,2,0,5.0,84.05,10423.83,29.0,1044.81538,0,1,1,0,0,0,398
56,0,HFDQ728,1,2,1.0,2,1,2,19.0,69.22,14117.54,12.0,523.54,0,1,1,3,3,1,631
64,0,2VRC6NG,0,5,0.0,1,1,1,14.0,32.16,67458.29,0.0,764.62,1,0,1,3,8,0,458
47,1,K7YIUTQ,1,2,1.0,1,0,2,20.0,692.73,18404.11,19.0,1072.745128,1,0,1,0,3,1,1023
46,0,F5T938Y,1,4,0.0,2,0,1,12.0,261.76,15786.32,16.0,704.13,0,1,0,1,2,0,1057
45,1,LU390BC,1,4,1.0,0,2,1,14.0,38.65,1225.14,9.0,700.07,1,0,1,4,7,0,271
60,0,JIA5UDD,1,4,1.0,2,2,2,16.0,182.16,43782.88,16.0,761.49,0,1,1,3,8,0,811
19,0,7B5M8OC,1,4,1.0,2,2,0,20.0,31.98,14432.03,24.0,730.04,1,0,1,2,1,0,641
21,0,AOHLG0V,1,5,0.0,0,3,1,12.0,283.79,38527.24,26.0,760.53,1,0,1,0,0,0,283
60,1,66DEWYB,0,5,0.0,0,0,1,9.0,1185.91225,29872.64,8.0,744.29,1,0,1,3,1,0,888
32,1,XF40RRS,1,1,0.0,0,2,1,17.0,329.16,37811.56,27.0,757.14,0,1,1,4,3,0,50
36,0,2V0SZHQ,1,4,1.0,1,0,0,7.0,700.63,26571.36,13.0,738.84,1,1,0,1,4,0,110
52,0,L5WC8WS,1,0,0.0,1,2,2,3.0,166.57,45964.8,17.0,630.0,1,0,1,0,7,1,494
39,1,F91GV32,1,2,1.0,2,2,0,12.0,126.05,43632.02,16.0,594.51,1,0,0,1,3,1,367
42,0,609T4VI,0,5,0.0,1,1,0,11.0,428.35,26483.73,14.0,713.42,0,1,0,1,0,0,662
56,1,NIHJCOO,1,5,1.0,0,3,2,16.0,148.06,15456.63,29.0,984.3321162,0,1,1,3,0,1,301
17,0,CKLHKX1,1,1,0.0,0,1,0,15.0,196.56,1246.57,22.0,766.76,1,0,1,3,0,0,24
56,1,RHUBYN8,1,2,0.0,2,1,2,10.0,359.98,38699.34,29.0,560.14,0,1,1,0,1,0,488
33,0,PWOU487,0,4,0.0,0,1,1,22.0,32.47,25468.76,16.0,298.868694,0,1,0,1,1,0,2
33,0,MROG29A,0,1,0.0,2,2,0,22.0,177.73,35286.1,16.0,709.01,1,0,1,0,3,1,904
41,1,R4TAGQ6,1,0,0.0,1,2,0,9.0,493.22,20294.0,23.0,697.62,1,0,0,1,3,1,787
42,0,PYIV6U9,0,0,0.0,1,3,1,4.0,316.14,13516.16,20.0,659.85,0,1,1,2,2,1,232
43,1,H4GXLTP,3,1,1.0,1,1,1,19.0,107.18,16027.34,4.0,1059.640736,0,1,1,2,8,0,231
12,0,NKMSURJ,0,2,1.0,1,3,2,22.0,108.2,2998.4,26.0,678.14,1,0,1,0,7,1,786
23,0,T1S3FJN,2,0,0.0,1,1,1,11.0,0.0,14865.87,25.0,697.62,0,1,1,2,0,1,963
14,0,E95TA6W,1,1,0.0,1,0,2,5.0,407.97,19138.74,12.0,697.62,0,1,0,1,3,1,1058
62,0,J44762N,1,1,1.0,2,2,0,6.0,308.28,38497.78,21.0,792.37,1,0,1,4,7,0,805
60,1,OQ8U35S,1,1,0.0,1,1,1,7.0,67.78,14175.2,16.0,464.501175,0,1,1,3,1,1,745
56,1,C1WO41D,1,0,1.0,2,1,1,5.0,732.71,47547.72,15.0,936.3622801,1,1,1,4,2,1,526
41,1,9MVALUF,3,1,1.0,1,1,0,22.0,188.96,40428.78,23.0,614.25,0,1,1,3,7,1,931
18,0,AGIKGT5,1,1,0.0,2,1,2,21.0,32.82,46250.9,2.0,779.89,1,0,0,1,8,0,695
63,1,68X50DQ,2,1,1.0,0,0,0,17.0,1099.5,95625.4,13.0,697.62,0,1,0,1,5,0,281
23,1,FI7GAP2,0,1,1.0,2,1,0,15.0,547.87,36383.39,4.0,763.15,0,1,1,2,4,0,141
17,1,9UJH2VO,0,3,1.0,0,1,1,14.0,80.4,15214.2,16.0,761.95,1,0,0,1,0,0,62
42,0,EDXS9Z3,0,1,1.0,2,1,2,8.0,179.84,39667.91,10.0,0.0,0,1,0,1,2,0,643
31,0,LU3B1CT,0,5,0.0,2,1,2,10.0,731.24,36981.7,26.0,774.16,0,1,1,4,1,0,363
12,0,F6PS8PZ,1,1,0.0,0,3,2,13.0,49.19,35209.09,10.0,799.43,0,1,1,0,5,0,328
63,1,YJ229A7,3,3,0.0,1,2,0,15.0,30.66,15079.52,23.0,469.5653778,1,0,0,1,7,0,48
16,0,DFL14TM,1,4,0.0,1,1,0,7.0,34.49,31418.7,16.0,770.66,1,0,1,4,2,0,295
38,1,59VYKZF,1,0,1.0,2,1,1,17.0,117.11,29114.92,16.0,521.7,0,1,1,0,7,1,638
15,1,LDYMHD4,0,3,0.0,1,3,2,13.0,93.76,28456.92,5.0,704.31,0,1,0,1,3,0,744
30,1,WH0V4K6,0,2,0.0,0,1,2,13.0,121.38,13374.01,12.0,693.0,1,0,0,1,3,1,934
64,1,WBTDLCE,2,2,0.0,1,0,1,10.0,445.01,37220.97,16.0,550.13,0,1,1,2,3,1,416
59,1,UL9ZZKV,1,2,1.0,0,2,1,10.0,628.79,40093.14,55.01616857,622.06,0,1,0,1,1,1,1067
23,1,HBY1Q1U,0,2,0.0,1,1,0,11.0,31.45,18606.73,24.0,621.94,0,1,0,1,2,1,998
