age,gender,security_no,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,tenure_days,value_segment,engagement_segment,price_sensitivity,support_risk,profile_tags,churn_probability,segment,prob_Histo,prob_RF,customer_id,top_drivers,last_purchase_days,lifetime_value,avg_order_value,category_affinity,support_tickets
56,1,QX3H9PU,0,0,0.0,2,1,1,18.0,45.93,9625.25,7.0,697.62,0,1,1,0,1,1,423,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.9866150991593335,Standard-At-Risk,0.966058562599098,1.0,QX3H9PU,low loyalty points; low average order value; short tenure,18.0,4071480.75,9625.25,2,1
45,0,GWM8QL4,3,0,1.0,2,2,0,13.0,0.0,12541.05,18.0,546.09,0,1,1,0,7,1,1,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9865855712125403,Standard-At-Risk,0.9683099115780515,0.98,GWM8QL4,low loyalty points; low average order value; short tenure,13.0,12541.05,12541.05,2,1
29,0,DO79A95,3,2,1.0,2,3,2,4.0,1184.49,38604.69,10.0,627.48,1,1,1,0,3,1,241,high,high,high,1,value_high;engagement_high;price_sensitive;support_risk,0.9864524613076293,Standard-At-Risk,0.0005384985827259879,0.0,DO79A95,low loyalty points; high average order value; short tenure,4.0,9303730.290000001,38604.69,2,1
37,1,WHZX3DG,3,2,0.0,2,1,0,13.0,994.3038441,36659.95,11.0,856.0249286,1,0,1,4,3,1,170,high,medium,normal,1,value_high;engagement_medium;support_risk,0.9864494028448879,VIP-At-Risk,0.3765251874138005,0.24,WHZX3DG,high loyalty points; high average order value; short tenure,13.0,6232191.499999999,36659.95,2,1
42,0,RVJ8F5Q,2,2,0.0,2,2,1,6.0,1165.85,38671.76,12.0,582.44,1,1,1,0,2,1,236,high,high,high,1,value_high;engagement_high;price_sensitive;support_risk,0.9864166871459265,Standard-At-Risk,0.002351149555886052,0.0,RVJ8F5Q,low loyalty points; high average order value; short tenure,6.0,9126535.360000001,38671.76,2,1
26,1,0B26561,1,2,1.0,1,1,0,10.0,78.05,3160.2,28.0,849.3347264,1,0,0,1,1,1,1088,low,high,high,0,value_low;engagement_high;price_sensitive,0.986291913191797,VIP-At-Risk,0.8252502320768221,0.91,0B26561,high loyalty points; low average order value; long tenure,10.0,3438297.5999999996,3160.2,1,0
48,1,KW7WIN4,1,2,1.0,1,2,0,22.0,372.43,39702.1,27.0,911.7571928,0,1,1,4,2,1,453,high,low,high,1,value_high;engagement_low;price_sensitive;support_risk,0.9862000399260106,VIP-At-Risk,0.9701626012686442,1.0,KW7WIN4,high loyalty points; high average order value; short tenure,22.0,17985051.3,39702.1,1,1
42,1,4MFNRCL,2,2,0.0,1,2,0,15.0,31.94,42774.37,16.0,923.5144731,1,0,1,3,2,1,496,high,low,normal,1,value_high;engagement_low;support_risk,0.9861660813243377,VIP-At-Risk,0.9785498802621285,0.98,4MFNRCL,high loyalty points; high average order value; short tenure,15.0,21216087.52,42774.37,1,1
36,1,MGB1GL3,1,0,0.0,2,3,2,21.0,828.6950065,5539.45,16.0,672.86,0,1,1,0,2,1,297,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.9861286133000126,Standard-At-Risk,0.9605774059365912,0.99,MGB1GL3,low loyalty points; low average order value; short tenure,21.0,1645216.65,5539.45,2,1
12,1,CFHAG0T,1,2,1.0,0,2,1,13.0,93.94,40860.62,11.0,946.4671068,0,1,1,2,0,0,567,high,medium,high,1,value_high;engagement_medium;price_sensitive;support_risk,0.9861129142457343,VIP-At-Risk,0.00237743728836083,0.0,CFHAG0T,high loyalty points; high average order value; long tenure,13.0,23167971.540000003,40860.62,0,1
53,1,W6L0Y7L,3,2,0.0,2,2,1,2.0,219.3,28977.72,29.0,876.3637028,0,1,0,1,0,1,630,medium,high,high,0,value_medium;engagement_high;price_sensitive,0.9860455613853446,VIP-At-Risk,0.002454078237336773,0.0,W6L0Y7L,high loyalty points; high average order value; long tenure,2.0,18255963.6,28977.72,2,0
11,1,I9QNLDW,1,2,1.0,2,1,1,6.0,146.62,14675.24,0.0,697.62,0,1,1,0,7,1,412,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.9860356807071141,Standard-At-Risk,0.9784350019315511,0.99,I9QNLDW,low loyalty points; low average order value; short tenure,6.0,6046198.88,14675.24,2,1
47,0,BR8P2H7,1,2,1.0,0,1,1,17.0,1147.669839,26411.57,25.0,1440.862047,0,1,1,2,1,1,884,medium,low,high,1,value_medium;engagement_low;price_sensitive;support_risk,0.9859860057176292,VIP-At-Risk,0.002344620521047451,0.0,BR8P2H7,high loyalty points; low average order value; long tenure,17.0,23347827.88,26411.57,0,1
22,0,5RL8D80,1,2,1.0,2,0,0,3.0,981.98,33877.4,56.16197924,633.31,0,1,0,1,7,1,226,medium,high,high,0,value_medium;engagement_high;price_sensitive,0.9859608799182835,Standard-At-Risk,0.0004463716208157505,0.0,5RL8D80,low loyalty points; high average order value; short tenure,3.0,7656292.4,33877.4,2,0
49,0,ITDY1DO,1,0,0.0,3,2,1,24.0,31.93,24009.29,6.0,618.05,1,0,1,0,2,1,469,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9859369417473354,Standard-At-Risk,0.5215124542010096,0.8,ITDY1DO,low loyalty points; low average order value; short tenure,24.0,11260357.01,24009.29,3,1
46,0,239HP6Y,0,2,0.0,2,2,1,18.0,701.24,13260.3,27.0,697.62,0,1,1,4,7,1,461,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.9858816715484819,Standard-At-Risk,0.00040687117408891267,0.0,239HP6Y,low loyalty points; low average order value; short tenure,18.0,6112998.3,13260.3,2,1
44,0,ITPX5E7,0,0,0.0,2,2,1,14.0,157.66,42267.74,28.0,943.3487288,1,0,0,1,0,1,1027,high,medium,normal,0,value_high;engagement_medium,0.9858765341559657,VIP-At-Risk,0.4508232631163433,0.44,ITPX5E7,high loyalty points; high average order value; long tenure,14.0,43408968.98,42267.74,2,0
48,1,BNA6E0Y,2,2,0.0,0,2,2,2.0,33.65,47993.68,26.0,604.18,1,0,1,2,7,1,214,high,high,normal,1,value_high;engagement_high;support_risk,0.9858345599826549,Standard-At-Risk,0.002398965582646274,0.0,BNA6E0Y,low loyalty points; high average order value; short tenure,2.0,10270647.52,47993.68,0,1
50,1,34LMJ7A,2,0,0.0,2,1,0,20.0,102.75,16381.57,38.30237423,697.62,1,0,1,0,3,1,343,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.9858158956112318,Standard-At-Risk,0.0006829378493486775,0.0,34LMJ7A,low loyalty points; low average order value; short tenure,20.0,5618878.51,16381.57,2,1
20,1,TUWJAVK,3,0,1.0,2,3,1,17.0,0.0,42502.84,44.12716833,862.2609749,0,1,1,0,0,1,1071,high,low,high,1,value_high;engagement_low;price_sensitive;support_risk,0.9858041181958481,VIP-At-Risk,0.008827591942502792,0.03,TUWJAVK,high loyalty points; high average order value; long tenure,17.0,45520541.63999999,42502.84,2,1
22,1,TJRA7I3,1,2,0.0,2,3,1,6.0,92.58,40607.06,22.0,570.83,1,0,1,0,7,1,360,high,high,normal,1,value_high;engagement_high;support_risk,0.9857410552788923,Standard-At-Risk,0.01302084506669587,0.03,TJRA7I3,low loyalty points; high average order value; short tenure,6.0,14618541.6,40607.06,2,1
52,0,PTA05EK,0,0,1.0,2,1,0,11.0,0.0,12360.57,25.0,702.95,1,0,1,0,0,1,147,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9857113864161438,VIP-At-Risk,0.012903739263535307,0.02,PTA05EK,high loyalty points; low average order value; short tenure,11.0,1817003.79,12360.57,2,1
63,1,EISD3KX,2,2,1.0,0,2,1,15.0,208.42,8761.32,26.0,700.08,0,1,0,1,7,1,650,low,low,high,0,value_low;engagement_low;price_sensitive,0.9857049331481857,VIP-At-Risk,0.5131053433710728,0.78,EISD3KX,high loyalty points; low average order value; long tenure,15.0,5694858.0,8761.32,0,0
49,1,U9LZLFZ,3,2,0.0,1,2,1,2.0,42.37,48370.33,29.0,637.89,0,1,1,0,7,1,198,high,high,high,1,value_high;engagement_high;price_sensitive;support_risk,0.9856866745371977,Standard-At-Risk,0.012898369102435272,0.07,U9LZLFZ,low loyalty points; high average order value; short tenure,2.0,9577325.34,48370.33,1,1
47,0,C0CYYX2,1,2,1.0,2,1,2,17.0,32.44,9369.88,21.0,619.44,1,0,1,0,1,1,443,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.9856552694852208,Standard-At-Risk,0.006715098264950754,0.02,C0CYYX2,low loyalty points; low average order value; short tenure,17.0,4150856.84,9369.88,2,1
13,1,YX97MXL,0,2,0.0,2,1,1,20.0,127.54,1209.02,14.0,934.6948521,1,0,0,1,0,1,1015,low,low,high,0,value_low;engagement_low;price_sensitive,0.9856238335312159,VIP-At-Risk,0.41262036225380583,0.22,YX97MXL,high loyalty points; low average order value; long tenure,20.0,1227155.3,1209.02,2,0
62,1,FV0T9U1,2,0,1.0,2,2,2,13.0,501.66,23638.72,5.0,697.62,1,0,1,0,0,1,287,medium,medium,normal,1,value_medium;engagement_medium;support_risk,0.9855991338362085,Standard-At-Risk,0.0004320311410102883,0.0,FV0T9U1,low loyalty points; low average order value; short tenure,13.0,6784312.640000001,23638.72,2,1
45,0,LKXICVN,1,2,0.0,2,3,0,13.0,83.27,3013.03,19.0,928.8053701,0,1,1,2,2,1,726,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9855935082963043,VIP-At-Risk,0.42923282747373565,0.14,LKXICVN,high loyalty points; low average order value; long tenure,13.0,2187459.7800000003,3013.03,2,1
58,0,PBU34H4,1,2,0.0,2,3,1,13.0,295.35,40089.34,27.0,900.0010793,1,0,0,1,2,1,344,high,medium,normal,0,value_high;engagement_medium,0.9855449285637821,VIP-At-Risk,0.9604353449449409,0.99,PBU34H4,high loyalty points; high average order value; short tenure,13.0,13790732.959999999,40089.34,2,0
37,1,YGRQA4D,2,0,1.0,2,2,1,11.0,250.99,44799.46,16.0,536.82,0,1,1,0,2,1,328,high,medium,high,1,value_high;engagement_medium;price_sensitive;support_risk,0.9855223688069756,Standard-At-Risk,0.002978033827599934,0.0,YGRQA4D,low loyalty points; high average order value; short tenure,11.0,14694222.879999999,44799.46,2,1
15,1,957G694,2,0,0.0,2,3,1,15.0,112.68,37016.21,10.0,566.48,0,1,1,0,7,1,413,high,low,high,1,value_high;engagement_low;price_sensitive;support_risk,0.9854656419274543,Standard-At-Risk,0.0037402555351201583,0.01,957G694,low loyalty points; high average order value; short tenure,15.0,15287694.73,37016.21,2,1
38,1,1MA0DAW,0,0,1.0,2,1,0,13.0,0.0,23000.34,16.0,651.21,0,1,1,0,2,1,472,medium,medium,high,1,value_medium;engagement_medium;price_sensitive;support_risk,0.9854590003401773,Standard-At-Risk,0.963997746347403,0.94,1MA0DAW,low loyalty points; low average order value; short tenure,13.0,10856160.48,23000.34,2,1
62,1,5N5CPT2,0,2,0.0,0,3,2,3.0,127.52,3900.67,14.0,697.62,1,0,0,1,7,1,159,low,high,high,0,value_low;engagement_high;price_sensitive,0.9854375413581418,Standard-At-Risk,0.003635722132700271,0.0,5N5CPT2,low loyalty points; low average order value; short tenure,3.0,620206.53,3900.67,0,0
44,1,XXEW3WT,2,2,1.0,2,1,0,7.0,0.0,24775.97,27.0,571.73,1,0,1,0,1,1,198,medium,high,normal,1,value_medium;engagement_high;support_risk,0.9854304077521782,Standard-At-Risk,0.9403204770835079,0.36,XXEW3WT,low loyalty points; low average order value; short tenure,7.0,4905642.0600000005,24775.97,2,1
33,1,Q42OGOC,1,2,0.0,1,2,1,24.0,34.32,16366.24,20.0,610.13,1,0,1,2,7,1,4,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.9854145044992838,Standard-At-Risk,0.9732911138468281,0.97,Q42OGOC,low loyalty points; low average order value; short tenure,24.0,65464.96,16366.24,1,1
38,1,GMJU5G7,1,2,0.0,2,0,1,14.0,1142.635398,14774.92,20.0,691.79,1,1,1,0,2,1,332,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9853548651892841,Standard-At-Risk,0.9633175044859008,1.0,GMJU5G7,low loyalty points; low average order value; short tenure,14.0,4905273.44,14774.92,2,1
53,0,C2LPU42,1,2,0.0,2,1,1,9.0,380.41,43265.07,8.0,697.62,0,1,1,0,0,1,470,high,high,high,1,value_high;engagement_high;price_sensitive;support_risk,0.9853007734933706,Standard-At-Risk,0.9697747108634639,0.98,C2LPU42,low loyalty points; high average order value; short tenure,9.0,20334582.9,43265.07,2,1
15,1,MN8DG8N,3,2,0.0,0,2,0,21.0,865.7987317,41700.15,17.0,854.7544331,0,1,1,3,3,1,41,high,low,high,1,value_high;engagement_low;price_sensitive;support_risk,0.9852886442132146,VIP-At-Risk,0.9820038177250581,0.96,MN8DG8N,high loyalty points; high average order value; short tenure,21.0,1709706.1500000001,41700.15,0,1
12,1,XRND38X,2,0,1.0,2,2,0,19.0,283.95,39815.04,18.0,564.65,1,0,1,0,7,1,472,high,low,normal,1,value_high;engagement_low;support_risk,0.9852687810600853,Standard-At-Risk,0.011545278454946581,0.02,XRND38X,low loyalty points; high average order value; short tenure,19.0,18792698.88,39815.04,2,1
19,1,Y1JFKOL,1,2,0.0,2,2,0,17.0,59.84,19023.77,9.0,696.92,1,0,1,0,7,1,275,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9852512143060514,Standard-At-Risk,0.002446841467521436,0.01,Y1JFKOL,low loyalty points; low average order value; short tenure,17.0,5231536.75,19023.77,2,1
18,1,QUQKFIX,1,2,0.0,1,2,0,3.0,992.6642124,28819.95,23.0,158.6600375,1,0,1,2,7,1,178,medium,high,normal,1,value_medium;engagement_high;support_risk,0.9852499791280441,Standard-At-Risk,0.9593997879189958,0.92,QUQKFIX,low loyalty points; high average order value; short tenure,3.0,5129951.100000001,28819.95,1,1
20,1,DMUUVSP,3,2,0.0,0,2,0,19.0,172.02,31400.21,15.0,937.536601,1,0,1,3,1,1,607,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9852457182815032,VIP-At-Risk,0.9613750705005273,0.98,DMUUVSP,high loyalty points; high average order value; long tenure,19.0,19059927.47,31400.21,0,1
42,0,X03SPIR,2,2,1.0,2,1,1,13.0,367.91,38466.24,16.0,646.16,1,0,1,0,7,1,201,high,medium,normal,1,value_high;engagement_medium;support_risk,0.9852435577558081,Standard-At-Risk,0.4969300056670607,0.81,X03SPIR,low loyalty points; high average order value; short tenure,13.0,7731714.239999999,38466.24,2,1
56,1,420UNS2,0,2,0.0,2,3,1,6.0,243.96,23356.27,21.0,0.0,1,0,0,1,7,1,145,medium,high,normal,0,value_medium;engagement_high,0.9852406593643953,Standard-At-Risk,0.965932809815998,0.96,420UNS2,low loyalty points; low average order value; short tenure,6.0,3386659.15,23356.27,2,0
31,0,PADYMNA,3,0,0.0,3,1,1,15.0,0.0,31514.99,15.0,677.07,1,1,1,0,2,1,150,medium,low,high,1,value_medium;engagement_low;price_sensitive;support_risk,0.985236592138268,Standard-At-Risk,0.9611075287267699,0.95,PADYMNA,low loyalty points; high average order value; short tenure,15.0,4727248.5,31514.99,3,1
39,1,YAUN39V,0,2,1.0,2,3,0,16.0,92.12,2566.46,25.0,708.42,0,1,1,0,3,1,274,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.9852348123681974,VIP-At-Risk,0.9619219811075851,0.94,YAUN39V,high loyalty points; low average order value; short tenure,16.0,703210.04,2566.46,2,1
43,1,GSW03MW,0,0,0.0,2,0,1,6.0,710.65,23329.04,16.0,631.45,0,1,1,0,2,1,193,medium,high,high,1,value_medium;engagement_high;price_sensitive;support_risk,0.9851867251469808,Standard-At-Risk,0.008807707814709896,0.0,GSW03MW,low loyalty points; low average order value; short tenure,6.0,4502504.72,23329.04,2,1
45,1,UWEP2MX,0,0,1.0,1,3,0,3.0,657.77,10001.61,19.0,75.53310382,0,1,1,4,7,1,138,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.9851488942109897,Standard-At-Risk,0.5040800966136793,0.2,UWEP2MX,low loyalty points; low average order value; short tenure,3.0,1380222.1800000002,10001.61,1,1
37,1,ZAZARHI,2,2,0.0,2,2,2,20.0,0.0,22245.31,8.0,668.48,1,0,1,0,2,1,380,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9851386547448737,Standard-At-Risk,0.46454543291626593,0.78,ZAZARHI,low loyalty points; low average order value; short tenure,20.0,8453217.8,22245.31,2,1
61,1,LHQJ64Q,1,2,0.0,0,0,1,23.0,679.4,16074.51,17.0,697.62,0,1,0,1,7,1,975,low,low,high,0,value_low;engagement_low;price_sensitive,0.985127695946504,Standard-At-Risk,0.9499913592355407,0.99,LHQJ64Q,low loyalty points; low average order value; long tenure,23.0,15672647.25,16074.51,0,0
60,1,TPJXDCX,0,0,0.0,0,1,0,15.0,75.77,45524.71,24.0,906.4173921,1,0,0,1,0,1,1052,high,low,normal,0,value_high;engagement_low,0.9850528383115137,VIP-At-Risk,0.575764080742274,0.24,TPJXDCX,high loyalty points; high average order value; long tenure,15.0,47891994.92,45524.71,0,0
